대학교 이름,출제 년도,문제 유형,문제 url,풀이 url
서경대학교,2025,모의논술 문제(공통),https://drive.google.com/file/d/1sn-x1oyijl6PlpHQyAQpl2ZyuCjHEaHR/view?usp=drive_link,https://drive.google.com/file/d/1KHWhdTNrkbii8nEh0zQL5q8uI8t1xDXK/view?usp=drive_link
서울과기대학교,2025,모의논술 문제(자연계열),https://drive.google.com/file/d/1Z0wKuzkjz1sl0Ek8W3wxFKtA3TDgpjz_/view?usp=drive_link,https://drive.google.com/file/d/1DFCFHHS_5D_Te1gXNt0mSs76LP7HJF20/view?usp=drive_link
서울시립대학교,2025,모의논술 문제(자연계열),https://drive.google.com/file/d/1u6bUCBo0ATAgHmzUEmkr52AR1N-iDudp/view?usp=drive_link,https://drive.google.com/file/d/1i1Rfx7eIrqLr-XelUSd8CDzmfHN5dfO-/view?usp=drive_link
성균관대학교,2025,모의논술 문제(자연계열),https://drive.google.com/file/d/18q8sNDYt388nf0yD3LD7n2OUQRNrYqpd/view?usp=drive_link,https://drive.google.com/file/d/1Z570Dkkga7XsS5KS__0QNQrJiBXt8fmh/view?usp=drive_link
성신여대학교,2025,모의논술 문제(자연계열),https://drive.google.com/file/d/1aelMLTCpSRDzsbdB6SAgau5rhC2vkUup/view?usp=drive_link,https://drive.google.com/file/d/1adeYvIpljmp1BGQo0qiTW_sFn6312cF9/view?usp=drive_link
세종대학교 세종,2025,모의논술 문제(자연계열),https://drive.google.com/file/d/1alVTGfF-WRnB1XJ-G1LIUuMjoKqsOfs5/view?usp=drive_link,https://drive.google.com/file/d/1Fs8DbIyX_vVxlaEyAQb7kfk0nFHqqAoM/view?usp=drive_link
수원대학교,2025,모의논술 문제(공통),https://drive.google.com/file/d/1vgGxHoPPmRa04-sDsBpIPPXuP1C_IkGv/view?usp=drive_link,https://drive.google.com/file/d/1WJHE_br3NhgzgSCZ1tbvyk2cZv_fTrl3/view?usp=drive_link
숙명여대학교,2025,모의논술 문제(약학부),https://drive.google.com/file/d/17VBEUoYPhoThZzzkDfyxrjr9B3_bUx_2/view?usp=drive_link,https://drive.google.com/file/d/1F5akcTm2rlb0m1WI96v690dHjkdl-oPC/view?usp=drive_link
숙명여대학교,2025,모의논술 문제(자연계열),https://drive.google.com/file/d/1pAiCEe9uIpT3lp8CALi71b9DET6_hxTY/view?usp=drive_link,https://drive.google.com/file/d/1ogtfPTbetAObsw9rwM37YBSSsUOJBS_H/view?usp=drive_link
숭실대학교,2025,모의논술 문제(자연계열),https://drive.google.com/file/d/1aerpIu6Qzx8v3iG4bCUlP3_15EaI2H60/view?usp=drive_link,https://drive.google.com/file/d/1zyueZnh3fVNEkuWgMCnjb5_ZqgASEefG/view?usp=drive_link
신한대학교,2025,모의논술 문제(공통),https://drive.google.com/file/d/1QgGVASGyexzxkO9aIp81LhEIfQX4WK3U/view?usp=drive_link,https://drive.google.com/file/d/1bYW-HTlaF4VvRYplKM0BvoLpORyoAbRq/view?usp=drive_link
아주대학교,2025,모의논술 문제(자연계열),https://drive.google.com/file/d/1BmSMqhQ3U-cqlJ5d7pufzf-6hh7J-EG9/view?usp=drive_link,https://drive.google.com/file/d/1WiclSJoJeA_tMiJk2IcUvqUoJxvxGQv5/view?usp=drive_link
연세대학교,2025,모의논술 문제(자연계열),https://drive.google.com/file/d/1h1P8Vw0eb7tR7WZxysBAVJbauvhF--3o/view?usp=drive_link,https://drive.google.com/file/d/1OJojJUa92z83-tUBchAupW4HwIoh84hp/view?usp=drive_link
을지대학교,2025,모의논술 문제(공통),https://drive.google.com/file/d/194bPMc9fbA6_NRalG6QH-zX7MNT4_9uy/view?usp=drive_link,https://drive.google.com/file/d/1d1Nq051ltcTdn5yEbW6oHwrHk1iZy8rP/view?usp=drive_link
